REF_DATE,GEO,DGUID,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006,"Toronto (CMA), Ontario",2016S0503535,Males,39 years,Persons,249,units ,0,v1060794429,70.2.49,43785,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,40 to 44 years,Persons,249,units ,0,v1060794430,70.2.50,239782,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,40 years,Persons,249,units ,0,v1060794431,70.2.51,46139,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,41 years,Persons,249,units ,0,v1060794432,70.2.52,48421,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,42 years,Persons,249,units ,0,v1060794433,70.2.53,49398,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,43 years,Persons,249,units ,0,v1060794434,70.2.54,49083,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,44 years,Persons,249,units ,0,v1060794435,70.2.55,46741,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,45 to 49 years,Persons,249,units ,0,v1060794436,70.2.56,214341,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,45 years,Persons,249,units ,0,v1060794437,70.2.57,46116,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,46 years,Persons,249,units ,0,v1060794438,70.2.58,44657,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,47 years,Persons,249,units ,0,v1060794439,70.2.59,42460,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,48 years,Persons,249,units ,0,v1060794440,70.2.60,41284,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,49 years,Persons,249,units ,0,v1060794441,70.2.61,39824,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,50 to 54 years,Persons,249,units ,0,v1060794442,70.2.62,175799,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,50 years,Persons,249,units ,0,v1060794443,70.2.63,38281,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,51 years,Persons,249,units ,0,v1060794444,70.2.64,37289,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,52 years,Persons,249,units ,0,v1060794445,70.2.65,34904,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,53 years,Persons,249,units ,0,v1060794446,70.2.66,33326,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,54 years,Persons,249,units ,0,v1060794447,70.2.67,31999,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,55 to 59 years,Persons,249,units ,0,v1060794448,70.2.68,149990,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,55 years,Persons,249,units ,0,v1060794449,70.2.69,31468,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,56 years,Persons,249,units ,0,v1060794450,70.2.70,30395,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,57 years,Persons,249,units ,0,v1060794451,70.2.71,29713,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,58 years,Persons,249,units ,0,v1060794452,70.2.72,29207,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,59 years,Persons,249,units ,0,v1060794453,70.2.73,29207,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,60 to 64 years,Persons,249,units ,0,v1060794454,70.2.74,107478,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,60 years,Persons,249,units ,0,v1060794455,70.2.75,24150,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,61 years,Persons,249,units ,0,v1060794456,70.2.76,22320,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,62 years,Persons,249,units ,0,v1060794457,70.2.77,21711,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,63 years,Persons,249,units ,0,v1060794458,70.2.78,20448,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,64 years,Persons,249,units ,0,v1060794459,70.2.79,18849,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,65 to 69 years,Persons,249,units ,0,v1060794460,70.2.80,82254,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,65 years,Persons,249,units ,0,v1060794461,70.2.81,18076,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,66 years,Persons,249,units ,0,v1060794462,70.2.82,17195,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,67 years,Persons,249,units ,0,v1060794463,70.2.83,16415,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,68 years,Persons,249,units ,0,v1060794464,70.2.84,15607,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,69 years,Persons,249,units ,0,v1060794465,70.2.85,14961,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,70 to 74 years,Persons,249,units ,0,v1060794466,70.2.86,68425,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,70 years,Persons,249,units ,0,v1060794467,70.2.87,14618,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,71 years,Persons,249,units ,0,v1060794468,70.2.88,14064,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,72 years,Persons,249,units ,0,v1060794469,70.2.89,13674,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,73 years,Persons,249,units ,0,v1060794470,70.2.90,13322,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,74 years,Persons,249,units ,0,v1060794471,70.2.91,12747,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,75 to 79 years,Persons,249,units ,0,v1060794472,70.2.92,54240,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,75 years,Persons,249,units ,0,v1060794473,70.2.93,12388,,,,0
